1R	1B	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
0		1		-		0		0		0		2		4		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		2		5		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		2		6		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		2		7		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		2		8		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		2		9		0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		2		10	0		0		0		-		->		p1_B_Hr
0		1		-		0		0		0		3		0		0		0		0		-		->		p1_B_Rr
0		1		-		0		0		0		3		0		0		0		2		-		->		p1_B_Gr
0		1		-		0		0		0		3		0		0		0		3		-		->		p1_B_Gr
0		1		-		0		0		0		3		0		0		0		5		-		->		p1_B_Gr
0		1		-		0		0		0		3		0		0		0		8		-		->		p1_B_Rr
0		1		-		0		0		0		3		0		0		2		0		-		->		p1_B_Rr
0		1		-		0		0		0		3		0		0		4		0		-		->		p1_B_Rr
0		1		-		0		0		0		3		0		0		5		0		-		->		p1_B_Rr
